  Time                 , V(VN)                , V(VVAL)              , (V(MS:+)-V(MS:-)) / I(MS:+), (V(MH:+)-V(MH:-)) / I(MH:+)
  1.000000000000e-10  ,1.063312705355e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.816187821329e-10  ,2.026346379535e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  3.448563463986e-10  ,4.094222517961e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  6.713314749300e-10  ,8.617683735793e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.324281731993e-09  ,1.700089860969e-01  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.630182246119e-09  ,6.616354387461e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  5.071737507731e-09  ,-1.080533558365e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  6.400000000000e-09  ,9.425823338347e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.114285714286e-09  ,-9.640382807419e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.542934543746e-09  ,3.306687383713e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  9.865412599700e-09  ,-8.788557429029e-07  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.237216044153e-08  ,1.595413138205e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.578042853560e-08  ,-4.462337761524e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.956606853689e-08  ,9.623832841754e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.425620902266e-08  ,-4.444915807866e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  3.363648999419e-08  ,7.504570510264e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  5.239705193724e-08  ,-7.491341845167e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.350000000000e-08  ,2.595863631996e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.360000000000e-08  ,4.494984134240e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.370000000000e-08  ,6.894940870694e-05  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.447681615949e-08  ,-3.190897666627e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.533661316037e-08  ,-3.006590942221e-04  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.705620716214e-08  ,-1.855839651057e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.990000000000e-08  ,-4.075711968426e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.061428571429e-08  ,-4.881443006525e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.204293454375e-08  ,-5.829736894157e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.490023220267e-08  ,-8.363797662241e-03  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  9.061482752051e-08  ,-1.268439087744e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.020440181562e-07  ,-2.152423672851e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.249023994276e-07  ,-3.681119044268e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.706191619703e-07  ,-6.201746953957e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.620526870557e-07  ,-9.400042564084e-02  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  4.449197372266e-07  ,-1.184028444404e-01  ,5.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.106538375684e-07  ,-1.091128836124e-01  ,5.000000000000e-01  ,5.000000110508e+04  ,4.999997846674e+04  
  1.173145445234e-06  ,-8.079144536896e-02  ,5.000000000000e-01  ,5.000000354421e+04  ,4.999994935085e+04  
  1.692230375654e-06  ,-3.607934333922e-02  ,5.000000000000e-01  ,5.000000769214e+04  ,4.999993132284e+04  
  2.730400236494e-06  ,5.837254037033e-02  ,5.000000000000e-01  ,5.000001703550e+04  ,4.999990780344e+04  
  4.806739958174e-06  ,2.380765054550e-01  ,5.000000000000e-01  ,5.000003647471e+04  ,4.999987265590e+04  
  8.959419401533e-06  ,5.099863789510e-01  ,5.000000000000e-01  ,5.000007271109e+04  ,4.999981449765e+04  
  1.726477828825e-05  ,8.044699245947e-01  ,5.000000000000e-01  ,5.000013305081e+04  ,4.999971500619e+04  
  3.387549606169e-05  ,9.811905917595e-01  ,5.000000000000e-01  ,5.000018595913e+04  ,4.999953825857e+04  
  6.709693160856e-05  ,9.973439986934e-01  ,5.000000000000e-01  ,5.000018595818e+04  ,4.999920020596e+04  
  1.335398027023e-04  ,9.919340980123e-01  ,5.000000000000e-01  ,5.000018595821e+04  ,4.999852572489e+04  
  1.825205155929e-04  ,9.947826475254e-01  ,5.000000000000e-01  ,5.000018595823e+04  ,4.999802822291e+04  
  2.300302812179e-04  ,9.934949669987e-01  ,5.000000000000e-01  ,5.000018595828e+04  ,4.999754584293e+04  
  3.014169999679e-04  ,9.941733254236e-01  ,5.000000000000e-01  ,5.000018595829e+04  ,4.999682092976e+04  
  4.441904374679e-04  ,9.937185120652e-01  ,5.000000000000e-01  ,5.000018595836e+04  ,4.999537121848e+04  
  7.297373124679e-04  ,9.941242277855e-01  ,5.000000000000e-01  ,5.000018595851e+04  ,4.999247185868e+04  
  1.300831062468e-03  ,9.937285249471e-01  ,5.000000000000e-01  ,5.000018595879e+04  ,4.998667361034e+04  
  2.443018562468e-03  ,9.940205707680e-01  ,5.000000000000e-01  ,5.000018595936e+04  ,4.997507860863e+04  
  4.727393562468e-03  ,9.935292325681e-01  ,5.000000000000e-01  ,5.000018596051e+04  ,4.995189471056e+04  
  9.296143562468e-03  ,9.936063121422e-01  ,5.000000000000e-01  ,5.000018596279e+04  ,4.990555107497e+04  
  1.843364356247e-02  ,9.927078573965e-01  ,5.000000000000e-01  ,5.000018596736e+04  ,4.981296064410e+04  
  3.670864356247e-02  ,9.919562635478e-01  ,5.000000000000e-01  ,5.000018597650e+04  ,4.962816592207e+04  
  7.325864356247e-02  ,9.894012482837e-01  ,5.000000000000e-01  ,5.000018599477e+04  ,4.926011646621e+04  
  1.463586435625e-01  ,9.852961237775e-01  ,5.000000000000e-01  ,5.000018603133e+04  ,4.853012697578e+04  
  2.925586435625e-01  ,9.759205398732e-01  ,5.000000000000e-01  ,5.000018610444e+04  ,4.709424752403e+04  
  5.849586435625e-01  ,9.576275124564e-01  ,5.000000000000e-01  ,5.000018625065e+04  ,4.431644899703e+04  
  1.169758643562e+00  ,9.178230966209e-01  ,5.000000000000e-01  ,5.000018654308e+04  ,3.912621225192e+04  
  2.169758643562e+00  ,8.444214823539e-01  ,5.000000000000e-01  ,5.000018704313e+04  ,3.138943025874e+04  
  2.294758643562e+00  ,8.345353186596e-01  ,5.000000000000e-01  ,5.000018710563e+04  ,3.052502556792e+04  
  2.544758643562e+00  ,8.153549416456e-01  ,5.000000000000e-01  ,5.000018723064e+04  ,2.886778565004e+04  
  3.044758643562e+00  ,7.760451610666e-01  ,5.000000000000e-01  ,5.000018748067e+04  ,2.584221277647e+04  
  4.044758643562e+00  ,7.002187572070e-01  ,5.000000000000e-01  ,5.000018798072e+04  ,2.091572157813e+04  
  5.000000000012e+00  ,6.353567549377e-01  ,5.000000000000e-01  ,5.000018845838e+04  ,1.748598652001e+04  
  5.001000000011e+00  ,5.661184227793e-01  ,5.000000000000e-01  ,5.000018845888e+04  ,1.748300214000e+04  
  5.003000000011e+00  ,4.263874682947e-01  ,5.000000000000e-01  ,5.000018845988e+04  ,1.747527300944e+04  
  5.003500000011e+00  ,3.915026803734e-01  ,5.000000000000e-01  ,5.000018846013e+04  ,1.747298908588e+04  
  5.004500000011e+00  ,3.219655761204e-01  ,5.000000000000e-01  ,5.000018846063e+04  ,1.746775408272e+04  
  5.006500000011e+00  ,1.856541578309e-01  ,5.000000000000e-01  ,5.000018846163e+04  ,1.745249091177e+04  
  5.006554687511e+00  ,1.820438340947e-01  ,5.000000000000e-01  ,5.000018846166e+04  ,1.745196361252e+04  
  5.006620312511e+00  ,1.777291522740e-01  ,5.000000000000e-01  ,5.000018846169e+04  ,1.745131049054e+04  
  5.006751562511e+00  ,5.847037329295e-02  ,5.000000000000e-01  ,5.000018846176e+04  ,1.744828856403e+04  
  5.007014062511e+00  ,-1.770506468747e-01  ,5.000000000000e-01  ,5.000018846189e+04  ,1.744678441374e+04  
  5.007539062511e+00  ,-1.771708348097e-01  ,5.000000000000e-01  ,5.000018846215e+04  ,1.745971781515e+04  
  5.008333789073e+00  ,-1.770960439026e-01  ,5.000000000000e-01  ,5.000018846255e+04  ,1.747928279680e+04  
  5.009328906261e+00  ,-1.767103833408e-01  ,5.000000000000e-01  ,5.000018846305e+04  ,1.750375616477e+04  
  5.009412792980e+00  ,-1.106583050496e-01  ,5.000000000000e-01  ,5.000018846309e+04  ,1.750579255905e+04  
  5.009471513682e+00  ,-9.344919160503e-02  ,5.000000000000e-01  ,5.000018846312e+04  ,1.750719079559e+04  
  5.009486194163e+00  ,-8.481572911114e-02  ,5.000000000000e-01  ,5.000018846313e+04  ,1.750753919198e+04  
  5.009515555125e+00  ,-5.661024988149e-02  ,5.000000000000e-01  ,5.000018846314e+04  ,1.750823216040e+04  
  5.009574277048e+00  ,-2.243071147934e-06  ,5.000000000000e-01  ,5.000018846317e+04  ,1.750959517480e+04  
  5.009588957529e+00  ,-1.559279034447e-06  ,5.000000000000e-01  ,5.000018846318e+04  ,1.750993210307e+04  
  5.009618318491e+00  ,-1.010899818854e-06  ,5.000000000000e-01  ,5.000018846319e+04  ,1.751060594263e+04  
  5.009677040415e+00  ,-6.419952531811e-07  ,5.000000000000e-01  ,5.000018846322e+04  ,1.751195356426e+04  
  5.009794484263e+00  ,-4.502905766590e-07  ,5.000000000000e-01  ,5.000018846328e+04  ,1.751464857831e+04  
  5.010000000012e+00  ,-3.701552420132e-07  ,5.000000000000e-01  ,5.000018846338e+04  ,1.751936386648e+04  
  5.010023488782e+00  ,-3.687786117867e-07  ,5.000000000000e-01  ,5.000018846340e+04  ,1.751990271977e+04  
  5.010046956799e+00  ,-3.663418760291e-07  ,5.000000000000e-01  ,5.000018846341e+04  ,1.752044108481e+04  
  5.010093892834e+00  ,-3.622275018544e-07  ,5.000000000000e-01  ,5.000018846343e+04  ,1.752151779054e+04  
  5.010187764905e+00  ,-3.569264742098e-07  ,5.000000000000e-01  ,5.000018846348e+04  ,1.752367105592e+04  
  5.010375509045e+00  ,-3.522074469298e-07  ,5.000000000000e-01  ,5.000018846357e+04  ,1.752797700251e+04  
  5.010750997326e+00  ,-3.502013072587e-07  ,5.000000000000e-01  ,5.000018846376e+04  ,1.753658656058e+04  
  5.011501973889e+00  ,-3.503784153369e-07  ,5.000000000000e-01  ,5.000018846413e+04  ,1.755379634814e+04  
  5.013003927014e+00  ,-3.505303823870e-07  ,5.000000000000e-01  ,5.000018846489e+04  ,1.758817870365e+04  
  5.016007833264e+00  ,-3.509177750327e-07  ,5.000000000000e-01  ,5.000018846639e+04  ,1.765679528717e+04  
  5.022015645764e+00  ,-3.516511962731e-07  ,5.000000000000e-01  ,5.000018846939e+04  ,1.779344185810e+04  
  5.034031270764e+00  ,-3.531144845137e-07  ,5.000000000000e-01  ,5.000018847540e+04  ,1.806443447570e+04  
  5.058062520764e+00  ,-3.558475295540e-07  ,5.000000000000e-01  ,5.000018848742e+04  ,1.859756283186e+04  
  5.106125020764e+00  ,-3.608797846111e-07  ,5.000000000000e-01  ,5.000018851145e+04  ,1.963085004078e+04  
  5.202250020764e+00  ,-3.693285575146e-07  ,5.000000000000e-01  ,5.000018855952e+04  ,2.158139426175e+04  
  5.394500020764e+00  ,-3.820097775609e-07  ,5.000000000000e-01  ,5.000018865565e+04  ,2.510524187104e+04  
  5.779000020764e+00  ,-3.979081538708e-07  ,5.000000000000e-01  ,5.000018884792e+04  ,3.101676309869e+04  
  6.000000000012e+00  ,-4.039022094005e-07  ,5.000000000000e-01  ,5.000018895843e+04  ,3.384563753190e+04  
  6.005000000011e+00  ,-4.323381742610e-07  ,5.000000000000e-01  ,5.000018896093e+04  ,3.390536927896e+04  
  6.015000000011e+00  ,-1.887476913980e-01  ,5.000000000000e-01  ,5.000018896593e+04  ,3.402895136218e+04  
  6.035000000011e+00  ,5.884904322447e-01  ,5.000000000000e-01  ,5.000018897593e+04  ,3.404511155938e+04  
  6.050000000012e+00  ,8.706963701406e-01  ,5.000000000000e-01  ,5.000018898343e+04  ,3.390502157218e+04  
  6.053409375012e+00  ,8.702346159844e-01  ,5.000000000000e-01  ,5.000018898514e+04  ,3.387937812664e+04  
  6.060228125012e+00  ,8.698729476309e-01  ,5.000000000000e-01  ,5.000018898855e+04  ,3.382812690665e+04  
  6.073865625012e+00  ,8.687192127109e-01  ,5.000000000000e-01  ,5.000018899537e+04  ,3.372583029257e+04  
  6.097240625012e+00  ,8.670831533964e-01  ,5.000000000000e-01  ,5.000018900706e+04  ,3.355112882833e+04  
  6.143990625012e+00  ,8.634430213133e-01  ,5.000000000000e-01  ,5.000018903043e+04  ,3.320414893095e+04  
  6.237490625012e+00  ,8.564709247439e-01  ,5.000000000000e-01  ,5.000018907719e+04  ,3.251992521834e+04  
  6.424490625012e+00  ,8.420530553558e-01  ,5.000000000000e-01  ,5.000018917070e+04  ,3.119078018661e+04  
  6.798490625012e+00  ,8.131537957233e-01  ,5.000000000000e-01  ,5.000018935771e+04  ,2.869204454048e+04  
  7.546490625012e+00  ,7.546951247496e-01  ,5.000000000000e-01  ,5.000018973175e+04  ,2.433898850954e+04  
  8.546490625012e+00  ,6.805211484316e-01  ,5.000000000000e-01  ,5.000019023180e+04  ,1.980878546879e+04  
  9.546490625012e+00  ,6.161169107072e-01  ,5.000000000000e-01  ,5.000019073185e+04  ,1.657399264095e+04  
  1.054649062501e+01  ,5.650067488314e-01  ,5.000000000000e-01  ,5.000019123189e+04  ,1.435104923423e+04  
  1.100000000001e+01  ,5.462264851667e-01  ,5.000000000000e-01  ,5.000019145867e+04  ,1.360577950928e+04  
  1.100300000001e+01  ,4.857058329217e-01  ,5.000000000000e-01  ,5.000019146017e+04  ,1.360077336243e+04  
  1.100900000001e+01  ,3.644781357143e-01  ,5.000000000000e-01  ,5.000019146317e+04  ,1.358922865613e+04  
  1.101050000001e+01  ,3.342741008091e-01  ,5.000000000000e-01  ,5.000019146392e+04  ,1.358582372461e+04  
  1.101350000001e+01  ,2.742027879285e-01  ,5.000000000000e-01  ,5.000019146542e+04  ,1.357803095318e+04  
  1.101950000001e+01  ,1.575877437281e-01  ,5.000000000000e-01  ,5.000019146842e+04  ,1.355549166822e+04  
  1.101966406251e+01  ,1.545299597783e-01  ,5.000000000000e-01  ,5.000019146850e+04  ,1.355471601869e+04  
  1.101970507814e+01  ,1.537687100499e-01  ,5.000000000000e-01  ,5.000019146852e+04  ,1.355451947638e+04  
  1.101978710939e+01  ,1.522460096312e-01  ,5.000000000000e-01  ,5.000019146857e+04  ,1.355412458810e+04  
  1.101995117189e+01  ,1.491859329108e-01  ,5.000000000000e-01  ,5.000019146865e+04  ,1.355332373130e+04  
  1.102027929689e+01  ,-1.695650641050e-01  ,5.000000000000e-01  ,5.000019146881e+04  ,1.355732752454e+04  
  1.102093554689e+01  ,-1.724259808398e-01  ,5.000000000000e-01  ,5.000019146914e+04  ,1.357657742422e+04  
  1.102201445314e+01  ,-1.696776174213e-01  ,5.000000000000e-01  ,5.000019146968e+04  ,1.360818619208e+04  
  1.102417226564e+01  ,-1.725994565932e-01  ,5.000000000000e-01  ,5.000019147076e+04  ,1.367125807321e+04  
  1.102471171876e+01  ,-1.698410302488e-01  ,5.000000000000e-01  ,5.000019147103e+04  ,1.368699591798e+04  
  1.102579062501e+01  ,-1.726769524248e-01  ,5.000000000000e-01  ,5.000019147157e+04  ,1.371843554740e+04  
  1.102606035157e+01  ,-1.699376424076e-01  ,5.000000000000e-01  ,5.000019147170e+04  ,1.372628801138e+04  
  1.102659980470e+01  ,-1.726959206135e-01  ,5.000000000000e-01  ,5.000019147197e+04  ,1.374198391188e+04  
  1.102767871095e+01  ,-1.695146820566e-01  ,5.000000000000e-01  ,5.000019147251e+04  ,1.377333704094e+04  
  1.102771242677e+01  ,-1.242104132616e-01  ,5.000000000000e-01  ,5.000019147253e+04  ,1.377430716438e+04  
  1.102777985841e+01  ,-9.500422735437e-02  ,5.000000000000e-01  ,5.000019147256e+04  ,1.377621996997e+04  
  1.102791472169e+01  ,-1.167256571177e-06  ,5.000000000000e-01  ,5.000019147263e+04  ,1.377995402027e+04  
  1.102794843751e+01  ,-7.382578861570e-07  ,5.000000000000e-01  ,5.000019147265e+04  ,1.378087002089e+04  
  1.102801586915e+01  ,-5.524673496460e-07  ,5.000000000000e-01  ,5.000019147268e+04  ,1.378270189669e+04  
  1.102815073243e+01  ,-3.707732608438e-07  ,5.000000000000e-01  ,5.000019147275e+04  ,1.378636515463e+04  
  1.102842045900e+01  ,-3.495292677236e-07  ,5.000000000000e-01  ,5.000019147288e+04  ,1.379368969935e+04  
  1.102895991212e+01  ,-3.099993240996e-07  ,5.000000000000e-01  ,5.000019147315e+04  ,1.380833091559e+04  
  1.103000000001e+01  ,-3.416832261849e-07  ,5.000000000000e-01  ,5.000019147367e+04  ,1.383653023036e+04  
  1.103010789064e+01  ,-3.266963979343e-07  ,5.000000000000e-01  ,5.000019147373e+04  ,1.383945297390e+04  
  1.103032366212e+01  ,-3.263951788013e-07  ,5.000000000000e-01  ,5.000019147383e+04  ,1.384529736217e+04  
  1.103075520509e+01  ,-3.263621521088e-07  ,5.000000000000e-01  ,5.000019147405e+04  ,1.385698113750e+04  
  1.103161829103e+01  ,-3.265175580192e-07  ,5.000000000000e-01  ,5.000019147448e+04  ,1.388032872555e+04  
  1.103334446290e+01  ,-3.269076433721e-07  ,5.000000000000e-01  ,5.000019147535e+04  ,1.392694438703e+04  
  1.103679680665e+01  ,-3.276166232191e-07  ,5.000000000000e-01  ,5.000019147707e+04  ,1.401986030520e+04  
  1.104370149415e+01  ,-3.289902682779e-07  ,5.000000000000e-01  ,5.000019148052e+04  ,1.420445124445e+04  
  1.105751086915e+01  ,-3.316456040625e-07  ,5.000000000000e-01  ,5.000019148743e+04  ,1.456882762474e+04  
  1.108512961915e+01  ,-3.365571757397e-07  ,5.000000000000e-01  ,5.000019150124e+04  ,1.527951259435e+04  
  1.114036711915e+01  ,-3.451178642311e-07  ,5.000000000000e-01  ,5.000019152886e+04  ,1.663639817375e+04  
  1.125084211915e+01  ,-3.585265498374e-07  ,5.000000000000e-01  ,5.000019158410e+04  ,1.913825800181e+04  
  1.147179211915e+01  ,-3.766609373845e-07  ,5.000000000000e-01  ,5.000019169459e+04  ,2.351705954147e+04  
  1.191369211915e+01  ,-3.969440720009e-07  ,5.000000000000e-01  ,5.000019191556e+04  ,3.059371586907e+04  
  1.200000000001e+01  ,-3.995780787913e-07  ,5.000000000000e-01  ,5.000019195872e+04  ,3.176117088030e+04  
  1.200300000001e+01  ,-1.878392820217e-01  ,5.000000000000e-01  ,5.000019196022e+04  ,3.180363739197e+04  
  1.200900000001e+01  ,3.867188902223e-01  ,5.000000000000e-01  ,5.000019196322e+04  ,3.180000041084e+04  
  1.202100000001e+01  ,1.001957718225e+00  ,5.000000000000e-01  ,5.000019196922e+04  ,3.167183438046e+04  
  1.202279789930e+01  ,1.089129105792e+00  ,5.000000000000e-01  ,5.000019197012e+04  ,3.166150623488e+04  
  1.202351810937e+01  ,1.128153168014e+00  ,5.000000000000e-01  ,5.000019197048e+04  ,3.165767518109e+04  
  1.202366152040e+01  ,1.135461902246e+00  ,5.000000000000e-01  ,5.000019197055e+04  ,3.165691722275e+04  
  1.202375085910e+01  ,1.140001168009e+00  ,5.000000000000e-01  ,5.000019197060e+04  ,3.165644692634e+04  
  1.202378813670e+01  ,1.141894699191e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625101486e+04  
  1.202378813680e+01  ,1.141875605914e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625101433e+04  
  1.202378814488e+01  ,1.141889538616e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625097185e+04  
  1.202378816105e+01  ,1.141890486120e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625088688e+04  
  1.202378818916e+01  ,1.141891792999e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625073914e+04  
  1.202378824539e+01  ,1.141894720146e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165625044365e+04  
  1.202378835784e+01  ,1.141900274437e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165624985267e+04  
  1.202378858274e+01  ,1.141911621671e+00  ,5.000000000000e-01  ,5.000019197061e+04  ,3.165624867073e+04  
