  Time                 , V(VN)                , V(VVAL)              , (V(MH:+)-V(MH:-)) / I(MH:+), (V(MS:+)-V(MS:-)) / I(MS:+)
  1.000000000000e-10  ,1.063679236995e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.816187821329e-10  ,2.026817614569e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  3.448563463986e-10  ,4.094894365335e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  6.713314749300e-10  ,8.618697084603e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.324281731993e-09  ,1.700253974268e-01  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.630182246119e-09  ,6.616521893193e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  5.071737507731e-09  ,-1.080580525013e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  6.400000000000e-09  ,9.426818483576e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.114285714286e-09  ,-9.637669682405e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.542934543746e-09  ,3.307159325345e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  9.865226335185e-09  ,-8.372720186056e-07  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.237197417702e-08  ,1.595637137370e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.577688950981e-08  ,-4.456855799972e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.956029433693e-08  ,9.623565725292e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.425416011299e-08  ,-4.443295987144e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  3.364189166512e-08  ,7.502088215716e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  5.241735476937e-08  ,-7.500676887418e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.350000000000e-08  ,2.586321658669e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.360000000000e-08  ,4.397464689276e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.370000000000e-08  ,6.803334434835e-05  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.447681615949e-08  ,-3.203826998117e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.533652002811e-08  ,-3.030039280532e-04  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.705592776537e-08  ,-1.865809689093e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  7.990000000000e-08  ,-4.102256646547e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.061428571429e-08  ,-4.912147287996e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.204293454375e-08  ,-5.868428734175e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  8.490023220267e-08  ,-8.418844727203e-03  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  9.061482752051e-08  ,-1.277151248996e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.020440181562e-07  ,-2.167510310028e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.249023994276e-07  ,-3.708577057478e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  1.706191619703e-07  ,-6.252600912921e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  2.620526870557e-07  ,-9.491989799426e-02  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000000000e+04  
  4.449197372266e-07  ,-1.199418947581e-01  ,7.000000000000e-01  ,5.000000000000e+04  ,5.000000042380e+04  
  8.106538375684e-07  ,-1.113819972088e-01  ,7.000000000000e-01  ,4.999997376449e+04  ,5.000000246815e+04  
  1.173097761519e-06  ,-8.340953094739e-02  ,7.000000000000e-01  ,4.999993961395e+04  ,5.000000506252e+04  
  1.692182691939e-06  ,-3.892986793653e-02  ,7.000000000000e-01  ,4.999992091733e+04  ,5.000000936253e+04  
  2.730352552778e-06  ,5.546836478607e-02  ,7.000000000000e-01  ,4.999989709213e+04  ,5.000001888303e+04  
  4.806692274458e-06  ,2.356026315683e-01  ,7.000000000000e-01  ,4.999986181496e+04  ,5.000003850470e+04  
  8.959371717817e-06  ,5.084234734531e-01  ,7.000000000000e-01  ,4.999980358459e+04  ,5.000007499681e+04  
  1.726473060454e-05  ,8.038445157581e-01  ,7.000000000000e-01  ,4.999970403101e+04  ,5.000013577190e+04  
  3.387544837797e-05  ,9.811382821645e-01  ,7.000000000000e-01  ,4.999952725310e+04  ,5.000018905355e+04  
  6.709688392485e-05  ,9.973384129116e-01  ,7.000000000000e-01  ,4.999918919316e+04  ,5.000018905357e+04  
  7.540224281157e-05  ,9.951493281405e-01  ,7.000000000000e-01  ,4.999910494633e+04  ,5.000018905357e+04  
  9.201296058500e-05  ,9.940221498255e-01  ,7.000000000000e-01  ,4.999893631472e+04  ,5.000018905358e+04  
  1.252343961319e-04  ,9.937711467501e-01  ,7.000000000000e-01  ,4.999859896334e+04  ,5.000018905360e+04  
  1.335397550186e-04  ,9.939442073810e-01  ,7.000000000000e-01  ,4.999851462078e+04  ,5.000018905360e+04  
  1.501504727920e-04  ,9.937866196269e-01  ,7.000000000000e-01  ,4.999834594396e+04  ,5.000018905361e+04  
  1.833719083389e-04  ,9.939723707503e-01  ,7.000000000000e-01  ,4.999800858843e+04  ,5.000018905363e+04  
  2.498147794327e-04  ,9.938036447274e-01  ,7.000000000000e-01  ,4.999733389033e+04  ,5.000018905366e+04  
  3.827005216202e-04  ,9.940007921541e-01  ,7.000000000000e-01  ,4.999598452156e+04  ,5.000018905373e+04  
  6.484720059952e-04  ,9.938286102260e-01  ,7.000000000000e-01  ,4.999328589810e+04  ,5.000018905386e+04  
  1.180014974745e-03  ,9.939941799385e-01  ,7.000000000000e-01  ,4.998788902221e+04  ,5.000018905413e+04  
  2.243100912245e-03  ,9.937489376753e-01  ,7.000000000000e-01  ,4.997709662306e+04  ,5.000018905466e+04  
  4.369272787245e-03  ,9.938038835535e-01  ,7.000000000000e-01  ,4.995551707190e+04  ,5.000018905572e+04  
  8.621616537245e-03  ,9.933660808019e-01  ,7.000000000000e-01  ,4.991237895244e+04  ,5.000018905785e+04  
  1.712630403725e-02  ,9.930378771387e-01  ,7.000000000000e-01  ,4.982618654241e+04  ,5.000018906210e+04  
  3.413567903725e-02  ,9.918319028802e-01  ,7.000000000000e-01  ,4.965413650945e+04  ,5.000018907061e+04  
  6.815442903725e-02  ,9.899600897916e-01  ,7.000000000000e-01  ,4.931137064067e+04  ,5.000018908762e+04  
