  Time                 , V(VN)                , V(VS)                , (V(MH:+)-V(MH:-)) / I(MH:+), (V(MS:+)-V(MS:-)) / I(MS:+)
  2.441406250000e-07  ,3.855715279860e-02  ,1.000000000000e+00  ,5.000000000000e+04  ,5.000000068697e+04  
  2.855605468750e-07  ,2.896183654957e-02  ,1.000000000000e+00  ,5.000000000000e+04  ,5.000000081059e+04  
  3.683990821838e-07  ,7.798161132541e-03  ,1.000000000000e+00  ,5.000000000000e+04  ,5.000000107233e+04  
  5.340761528015e-07  ,-1.668623085061e-02  ,1.000000000000e+00  ,5.000000000000e+04  ,5.000000167685e+04  
  8.654302940369e-07  ,-2.593280397014e-02  ,1.000000000000e+00  ,5.000000000000e+04  ,5.000000315016e+04  
  1.373261867523e-06  ,-1.237456636318e-02  ,1.000000000000e+00  ,4.999998215068e+04  ,5.000000588578e+04  
  2.074784694672e-06  ,2.006538480964e-02  ,1.000000000000e+00  ,4.999994439149e+04  ,5.000001018653e+04  
  3.477830348969e-06  ,9.634543216089e-02  ,1.000000000000e+00  ,4.999989975931e+04  ,5.000001933110e+04  
  6.283921657562e-06  ,2.357346303907e-01  ,1.000000000000e+00  ,4.999983225108e+04  ,5.000003724777e+04  
  1.189610427475e-05  ,4.198695156956e-01  ,1.000000000000e+00  ,4.999971828110e+04  ,5.000006903234e+04  
  2.312046950912e-05  ,5.813880157657e-01  ,1.000000000000e+00  ,4.999952016282e+04  ,5.000011894698e+04  
  4.556919997787e-05  ,6.420158102410e-01  ,1.000000000000e+00  ,4.999915613802e+04  ,5.000018496980e+04  
  9.046666091537e-05  ,6.353916652733e-01  ,1.000000000000e+00  ,4.999844171209e+04  ,5.000023353117e+04  
  1.802615827904e-04  ,6.385799368727e-01  ,1.000000000000e+00  ,4.999701131383e+04  ,5.000023353121e+04  
  3.598514265404e-04  ,6.363193242578e-01  ,1.000000000000e+00  ,4.999415143253e+04  ,5.000023471493e+04  
  7.190311140404e-04  ,6.382479068707e-01  ,1.000000000000e+00  ,4.998843155966e+04  ,5.000023353148e+04  
  1.437390489040e-03  ,6.364273304353e-01  ,1.000000000000e+00  ,4.997699390858e+04  ,5.000023353184e+04  
  2.874109239040e-03  ,6.380520184175e-01  ,1.000000000000e+00  ,4.995412426634e+04  ,5.000023353256e+04  
  5.747546739040e-03  ,6.361945893150e-01  ,1.000000000000e+00  ,4.990840959258e+04  ,5.000023552083e+04  
  1.149442173904e-02  ,6.375041909632e-01  ,1.000000000000e+00  ,4.981707663247e+04  ,5.000023353687e+04  
  2.298817173904e-02  ,6.351368555916e-01  ,1.000000000000e+00  ,4.963479698460e+04  ,5.000023354262e+04  
  4.597567173904e-02  ,6.353647118085e-01  ,1.000000000000e+00  ,4.927177680139e+04  ,5.000023355411e+04  
  9.195067173904e-02  ,6.308366869343e-01  ,1.000000000000e+00  ,4.855183703970e+04  ,5.000023863607e+04  
  1.839006717390e-01  ,6.266659534886e-01  ,1.000000000000e+00  ,4.713602101465e+04  ,5.000023362308e+04  
  3.678006717390e-01  ,6.129929942545e-01  ,1.000000000000e+00  ,4.439789097519e+04  ,5.000023371504e+04  
  7.356006717390e-01  ,5.893007452250e-01  ,1.000000000000e+00  ,3.928383903482e+04  ,5.000023389896e+04  
  1.471200671739e+00  ,5.320021267980e-01  ,1.000000000000e+00  ,3.050652195902e+04  ,5.000023993721e+04  
  2.271200671739e+00  ,4.705452794442e-01  ,1.000000000000e+00  ,2.321626403835e+04  ,5.000023466683e+04  
  3.071200671739e+00  ,4.106177442591e-01  ,1.000000000000e+00  ,1.816132701848e+04  ,5.000023506687e+04  
  3.871200671739e+00  ,3.664559157041e-01  ,1.000000000000e+00  ,1.491087668961e+04  ,5.000023546691e+04  
  4.671200671739e+00  ,3.316758112924e-01  ,1.000000000000e+00  ,1.291498532496e+04  ,5.000023586694e+04  
  5.000000000008e+00  ,3.238345225982e-01  ,1.000000000000e+00  ,1.235663247440e+04  ,5.000023603136e+04  
  5.001000000007e+00  ,2.853526355175e-01  ,8.999999992800e-01  ,1.235492766415e+04  ,5.000023603186e+04  
  5.003000000007e+00  ,2.107700483757e-01  ,6.999999992800e-01  ,1.235097496584e+04  ,5.000023603286e+04  
  5.003500000007e+00  ,1.925015299785e-01  ,6.499999992801e-01  ,1.234980262282e+04  ,5.000023603311e+04  
  5.004500000007e+00  ,1.566710555344e-01  ,5.499999992800e-01  ,1.234710846289e+04  ,5.000023603361e+04  
  5.004750000007e+00  ,1.479179590242e-01  ,5.249999992800e-01  ,1.234635176334e+04  ,5.000023603373e+04  
  5.004812500007e+00  ,1.457360077766e-01  ,5.187499992800e-01  ,1.234615625616e+04  ,5.000023603377e+04  
  5.004937500007e+00  ,1.414030945307e-01  ,5.062499992800e-01  ,1.234575701337e+04  ,5.000023603383e+04  
  5.005187500007e+00  ,2.533150063755e-02  ,4.812499992800e-01  ,1.234534892074e+04  ,5.000023603395e+04  
  5.005250000007e+00  ,-1.731006872578e-01  ,4.749999992799e-01  ,1.234643804570e+04  ,5.000023603398e+04  
  5.005375000007e+00  ,-1.805376102857e-01  ,4.624999992800e-01  ,1.235078654646e+04  ,5.000023603405e+04  
  5.005625000007e+00  ,-1.732678925910e-01  ,4.374999992799e-01  ,1.235948094698e+04  ,5.000023603417e+04  
  5.006105126960e+00  ,-1.805336514371e-01  ,3.894873039674e-01  ,1.237616728697e+04  ,5.000023603441e+04  
  5.007065380867e+00  ,-1.734209730494e-01  ,2.934619133424e-01  ,1.240949708975e+04  ,5.000023603489e+04  
  5.007305444343e+00  ,-1.805742557190e-01  ,2.694555656862e-01  ,1.241782048137e+04  ,5.000023603501e+04  
  5.007785571296e+00  ,-1.735467867984e-01  ,2.214428703737e-01  ,1.243445674637e+04  ,5.000023603525e+04  
  5.008745825203e+00  ,-1.801532352838e-01  ,1.254174797487e-01  ,1.246768348354e+04  ,5.000023603573e+04  
  5.008902597053e+00  ,-8.679882573779e-02  ,1.097402946801e-01  ,1.247302360534e+04  ,5.000023603581e+04  
  5.009012337348e+00  ,-2.511253167858e-06  ,9.876626521210e-02  ,1.247659058496e+04  ,5.000023603587e+04  
  5.009039772651e+00  ,-1.295911344790e-06  ,9.602273493865e-02  ,1.247748222595e+04  ,5.000023603588e+04  
  5.009094643256e+00  ,-7.210507530497e-07  ,9.053567439175e-02  ,1.247926556557e+04  ,5.000023603591e+04  
  5.009202883002e+00  ,-4.598851854054e-07  ,7.971169978234e-02  ,1.248278286504e+04  ,5.000023603596e+04  
  5.009419362494e+00  ,-3.566288865331e-07  ,5.806375056361e-02  ,1.248981552537e+04  ,5.000023603607e+04  
  5.009852321479e+00  ,-3.319525700429e-07  ,1.476785212615e-02  ,1.250387310379e+04  ,5.000023603629e+04  
  5.010000000008e+00  ,-3.330368536503e-07  ,0.000000000000e+00  ,1.250866566226e+04  ,5.000023603636e+04  
  5.010045275887e+00  ,-3.331459901834e-07  ,0.000000000000e+00  ,1.251013468784e+04  ,5.000023603638e+04  
  5.010135827645e+00  ,-3.333318749910e-07  ,0.000000000000e+00  ,1.251307251386e+04  ,5.000023603643e+04  
  5.010285974129e+00  ,-3.335153991313e-07  ,0.000000000000e+00  ,1.251794281618e+04  ,5.000023603650e+04  
  5.010586267098e+00  ,-3.336939418952e-07  ,0.000000000000e+00  ,1.252767971219e+04  ,5.000023603665e+04  
  5.011186853035e+00  ,-3.338936747643e-07  ,0.000000000000e+00  ,1.254713869777e+04  ,5.000023603695e+04  
  5.012388024910e+00  ,-3.342686440977e-07  ,0.000000000000e+00  ,1.258599766660e+04  ,5.000023603755e+04  
  5.014790368660e+00  ,-3.350089725906e-07  ,0.000000000000e+00  ,1.266348136249e+04  ,5.000023603876e+04  
  5.019595056160e+00  ,-3.364286518537e-07  ,0.000000000000e+00  ,1.281752562805e+04  ,5.000023604116e+04  
  5.029204431160e+00  ,-3.393528711371e-07  ,0.000000000000e+00  ,1.312202781163e+04  ,5.000023604596e+04  
  5.048423181160e+00  ,-3.446817216923e-07  ,0.000000000000e+00  ,1.371746966543e+04  ,5.000023605557e+04  
  5.086860681160e+00  ,-3.540827231141e-07  ,0.000000000000e+00  ,1.485947951276e+04  ,5.000023607479e+04  
  5.163735681160e+00  ,-3.691299368669e-07  ,0.000000000000e+00  ,1.698073718335e+04  ,5.000023611323e+04  
  5.317485681160e+00  ,-3.900697362891e-07  ,0.000000000000e+00  ,2.073801215402e+04  ,5.000023619012e+04  
  5.624985681160e+00  ,-4.144612666401e-07  ,0.000000000000e+00  ,2.696334465781e+04  ,5.000023634388e+04  
  6.000000000008e+00  ,-4.306831646594e-07  ,0.000000000000e+00  ,3.294665591496e+04  ,5.000023653141e+04  
  6.005000000007e+00  ,-4.287325788832e-07  ,1.000000001440e-01  ,3.301656038928e+04  ,5.000023653391e+04  
  6.015000000007e+00  ,-1.968616229133e-01  ,3.000000001440e-01  ,3.316057431106e+04  ,5.000023653891e+04  
  6.035000000007e+00  ,3.648066976457e-01  ,7.000000001440e-01  ,3.313634279749e+04  ,5.000023654891e+04  
  6.050000000008e+00  ,5.500103593222e-01  ,1.000000000000e+00  ,3.292121309546e+04  ,5.000023655641e+04  
  6.053377500008e+00  ,5.496596888406e-01  ,1.000000000000e+00  ,3.288269002076e+04  ,5.000023655810e+04  
  6.060132187508e+00  ,5.493059239234e-01  ,1.000000000000e+00  ,3.280573542934e+04  ,5.000023656148e+04  
  6.073641562508e+00  ,5.481140073971e-01  ,1.000000000000e+00  ,3.265232903367e+04  ,5.000023656823e+04  
  6.096369687508e+00  ,5.464873985620e-01  ,1.000000000000e+00  ,3.239574903950e+04  ,5.000023657960e+04  
  6.141825937508e+00  ,5.428202204639e-01  ,1.000000000000e+00  ,3.188829484801e+04  ,5.000023660233e+04  
  6.232738437508e+00  ,5.358295722981e-01  ,1.000000000000e+00  ,3.089632544833e+04  ,5.000023664779e+04  
  6.414563437508e+00  ,5.213353568397e-01  ,1.000000000000e+00  ,2.900495926729e+04  ,5.000023673871e+04  
  6.778213437508e+00  ,4.925411835138e-01  ,1.000000000000e+00  ,2.559484957613e+04  ,5.000023692055e+04  
  7.505513437508e+00  ,4.367595898802e-01  ,1.000000000000e+00  ,2.020691733185e+04  ,5.000023728424e+04  
  8.305513437508e+00  ,3.848277665966e-01  ,1.000000000000e+00  ,1.620260469978e+04  ,5.000023768427e+04  
  9.105513437508e+00  ,3.459859434806e-01  ,1.000000000000e+00  ,1.370039821371e+04  ,5.000023808431e+04  
  9.905513437508e+00  ,3.198150675162e-01  ,1.000000000000e+00  ,1.218774890630e+04  ,5.000023848435e+04  
  1.070551343751e+01  ,3.029092750803e-01  ,1.000000000000e+00  ,1.128797242211e+04  ,5.000023888439e+04  
  1.100000000001e+01  ,2.986685503856e-01  ,1.000000000000e+00  ,1.106318430562e+04  ,5.000023903165e+04  
  1.100300000001e+01  ,2.635933251877e-01  ,8.999999997599e-01  ,1.106086557862e+04  ,5.000023903315e+04  
  1.100900000001e+01  ,1.944672047975e-01  ,6.999999997599e-01  ,1.105550273958e+04  ,5.000023903615e+04  
  1.101050000001e+01  ,1.775846188248e-01  ,6.499999997599e-01  ,1.105391628681e+04  ,5.000023903690e+04  
  1.101350000001e+01  ,1.445568002091e-01  ,5.499999997599e-01  ,1.105027910664e+04  ,5.000023903840e+04  
  1.101425000001e+01  ,1.364939045743e-01  ,5.249999997599e-01  ,1.104926025850e+04  ,5.000023903877e+04  
  1.101443750001e+01  ,1.344923476427e-01  ,5.187499997600e-01  ,1.104899704784e+04  ,5.000023903886e+04  
  1.101481250001e+01  ,1.305018320709e-01  ,5.062499997600e-01  ,1.104845976111e+04  ,5.000023903905e+04  
  1.101490625001e+01  ,1.295001489052e-01  ,5.031249997600e-01  ,1.104832312494e+04  ,5.000023903910e+04  
  1.101509375001e+01  ,3.026356884766e-02  ,4.968749997600e-01  ,1.104818555203e+04  ,5.000023903919e+04  
  1.101514062501e+01  ,-1.682404589228e-01  ,4.953124997600e-01  ,1.104905863699e+04  ,5.000023903922e+04  
  1.101523437501e+01  ,-1.787069105048e-01  ,4.921874997600e-01  ,1.105255499287e+04  ,5.000023903926e+04  
  1.101542187501e+01  ,-1.685303797130e-01  ,4.859374997600e-01  ,1.105954612142e+04  ,5.000023903936e+04  
  1.101578432618e+01  ,-1.786464445031e-01  ,4.738557940308e-01  ,1.107305240688e+04  ,5.000023903954e+04  
  1.101650922852e+01  ,-1.687148574274e-01  ,4.496923825725e-01  ,1.110003507421e+04  ,5.000023903990e+04  
  1.101795903321e+01  ,-1.788225904747e-01  ,4.013655596558e-01  ,1.115387931602e+04  ,5.000023904063e+04  
  1.102085864259e+01  ,-1.691891363007e-01  ,3.047119138225e-01  ,1.126109267131e+04  ,5.000023904208e+04  
  1.102158354493e+01  ,-1.791391706502e-01  ,2.805485023642e-01  ,1.128779700252e+04  ,5.000023904244e+04  
  1.102303334962e+01  ,-1.694447549380e-01  ,2.322216794475e-01  ,1.134108942876e+04  ,5.000023904316e+04  
  1.102339580079e+01  ,-1.792558073357e-01  ,2.201399737183e-01  ,1.135438810104e+04  ,5.000023904334e+04  
  1.102412070313e+01  ,-1.696186368645e-01  ,1.959765622600e-01  ,1.138095688233e+04  ,5.000023904371e+04  
  1.102557050782e+01  ,-1.794144546293e-01  ,1.476497393433e-01  ,1.143397874487e+04  ,5.000023904443e+04  
  1.102593295899e+01  ,-1.693041260005e-01  ,1.355680336141e-01  ,1.144720927244e+04  ,5.000023904461e+04  
  1.102665786134e+01  ,-8.407449614278e-07  ,1.114046221558e-01  ,1.147284526869e+04  ,5.000023904498e+04  
  1.102810766602e+01  ,-2.830942513743e-07  ,6.307779923915e-02  ,1.152250852008e+04  ,5.000023904570e+04  
  1.103000000001e+01  ,-3.765761640573e-07  ,0.000000000000e+00  ,1.158712745126e+04  ,5.000023904665e+04  
  1.103024773438e+01  ,-3.342064392453e-07  ,0.000000000000e+00  ,1.159556811540e+04  ,5.000023904677e+04  
  1.103074324220e+01  ,-3.267219741976e-07  ,0.000000000000e+00  ,1.161243519418e+04  ,5.000023904702e+04  
  1.103173425782e+01  ,-3.235440952376e-07  ,0.000000000000e+00  ,1.164613830549e+04  ,5.000023904751e+04  
  1.103371628907e+01  ,-3.261569719581e-07  ,0.000000000000e+00  ,1.171335927071e+04  ,5.000023904850e+04  
  1.103768035157e+01  ,-3.261302509161e-07  ,0.000000000000e+00  ,1.184707019535e+04  ,5.000023905049e+04  
  1.104560847657e+01  ,-3.301502981834e-07  ,0.000000000000e+00  ,1.211164519350e+04  ,5.000023905445e+04  
  1.106146472657e+01  ,-3.341068370022e-07  ,0.000000000000e+00  ,1.262998096750e+04  ,5.000023906238e+04  
  1.109317722657e+01  ,-3.443758147537e-07  ,0.000000000000e+00  ,1.362738232754e+04  ,5.000023907824e+04  
  1.115660222657e+01  ,-3.582288371773e-07  ,0.000000000000e+00  ,1.548989700734e+04  ,5.000023910995e+04  
  1.128345222657e+01  ,-3.805903761311e-07  ,0.000000000000e+00  ,1.881548146533e+04  ,5.000023917338e+04  
  1.153715222657e+01  ,-4.048894720610e-07  ,0.000000000000e+00  ,2.440324986257e+04  ,5.000023930025e+04  
  1.204455222657e+01  ,-4.314841881015e-07  ,0.000000000000e+00  ,3.295119835996e+04  ,5.000023955397e+04  
  1.284455222657e+01  ,-4.463303505953e-07  ,0.000000000000e+00  ,4.167620240568e+04  ,5.000023995401e+04  
  1.364455222657e+01  ,-4.545181495619e-07  ,0.000000000000e+00  ,4.630855691010e+04  ,5.000024035405e+04  
  1.444455222657e+01  ,-4.554008682101e-07  ,0.000000000000e+00  ,4.846946739561e+04  ,5.000024075409e+04  
  1.524455222657e+01  ,-4.582693577670e-07  ,0.000000000000e+00  ,4.938749482672e+04  ,5.000024115412e+04  
  1.604455222657e+01  ,-4.570095075429e-07  ,0.000000000000e+00  ,4.975873180043e+04  ,5.000024155416e+04  
  1.684455222657e+01  ,-4.588591853705e-07  ,0.000000000000e+00  ,4.990558529797e+04  ,5.000024195420e+04  
  1.764455222657e+01  ,-4.572255551116e-07  ,0.000000000000e+00  ,4.996314963524e+04  ,5.000024235424e+04  
  1.844455222657e+01  ,-4.589480802342e-07  ,0.000000000000e+00  ,4.998563187452e+04  ,5.000024275428e+04  
  1.924455222657e+01  ,-4.572622789856e-07  ,0.000000000000e+00  ,4.999440007907e+04  ,5.000024315431e+04  
  1.990000000001e+01  ,-4.589596504789e-07  ,0.000000000000e+00  ,4.999736365537e+04  ,5.000024348207e+04  
  1.990125000001e+01  ,-4.574140007874e-07  ,0.000000000000e+00  ,4.999736725585e+04  ,5.000024348269e+04  
  1.990125488282e+01  ,-4.574080311737e-07  ,0.000000000000e+00  ,4.999736726991e+04  ,5.000024348270e+04  
  1.990126464845e+01  ,-4.573962165688e-07  ,0.000000000000e+00  ,4.999736729804e+04  ,5.000024348270e+04  
  1.990126708985e+01  ,-4.573933646279e-07  ,0.000000000000e+00  ,4.999736730507e+04  ,5.000024348270e+04  
  1.990126770020e+01  ,-4.573927996632e-07  ,0.000000000000e+00  ,4.999736730683e+04  ,5.000024348270e+04  
  1.990126892091e+01  ,-4.573914628159e-07  ,0.000000000000e+00  ,4.999736731034e+04  ,5.000024348270e+04  
  1.990127136231e+01  ,-4.573883421177e-07  ,0.000000000000e+00  ,4.999736731738e+04  ,5.000024348270e+04  
  1.990127197266e+01  ,-4.573877830094e-07  ,0.000000000000e+00  ,4.999736731913e+04  ,5.000024348270e+04  
  1.990127212525e+01  ,-4.573878616687e-07  ,0.000000000000e+00  ,4.999736731957e+04  ,5.000024348270e+04  
  1.990127243043e+01  ,-4.573887137371e-07  ,0.000000000000e+00  ,4.999736732045e+04  ,5.000024348270e+04  
  1.990127304078e+01  ,-4.573865369228e-07  ,0.000000000000e+00  ,4.999736732221e+04  ,5.000024348271e+04  
  1.990127426148e+01  ,-4.573857927404e-07  ,0.000000000000e+00  ,4.999736732573e+04  ,5.000024348271e+04  
  1.990127429963e+01  ,-4.573871996150e-07  ,0.000000000000e+00  ,4.999736732584e+04  ,5.000024348271e+04  
  1.990127430917e+01  ,-4.573830323928e-07  ,0.000000000000e+00  ,4.999736732586e+04  ,5.000024348271e+04  
  1.990127432824e+01  ,-4.573874204661e-07  ,0.000000000000e+00  ,4.999736732592e+04  ,5.000024348271e+04  
  1.990127436639e+01  ,-4.573837745214e-07  ,0.000000000000e+00  ,4.999736732603e+04  ,5.000024348271e+04  
  1.990127437592e+01  ,-4.573874239910e-07  ,0.000000000000e+00  ,4.999736732606e+04  ,5.000024348271e+04  
  1.990127439500e+01  ,-4.573844842870e-07  ,0.000000000000e+00  ,4.999736732611e+04  ,5.000024348271e+04  
  1.990127443314e+01  ,-4.573879835157e-07  ,0.000000000000e+00  ,4.999736732622e+04  ,5.000024348271e+04  
  1.990127444268e+01  ,-3.342174494381e-07  ,0.000000000000e+00  ,4.999736732625e+04  ,5.000024352827e+04  
  1.990127446175e+01  ,-3.833878514659e-07  ,0.000000000000e+00  ,4.999736732630e+04  ,5.000024367856e+04  
  1.990127449990e+01  ,-4.958566022506e-07  ,0.000000000000e+00  ,4.999736732641e+04  ,5.000024379686e+04  
  1.990127457620e+01  ,-3.867686819703e-07  ,0.000000000000e+00  ,4.999736732663e+04  ,5.000024402618e+04  
  1.990127471252e+01  ,-4.833030926854e-07  ,0.000000000000e+00  ,4.999736732702e+04  ,5.000024443600e+04  
  1.990127498132e+01  ,-3.819453441856e-07  ,0.000000000000e+00  ,4.999736732780e+04  ,5.000024529112e+04  
  1.990127551890e+01  ,-4.782610952547e-07  ,0.000000000000e+00  ,4.999736732935e+04  ,5.000024700152e+04  
  1.990127659407e+01  ,-3.844266509845e-07  ,0.000000000000e+00  ,4.999736733244e+04  ,5.000025033551e+04  
  1.990127874442e+01  ,-4.776804766460e-07  ,0.000000000000e+00  ,4.999736733864e+04  ,5.000025700349e+04  
  1.990128304511e+01  ,-3.814278568826e-07  ,0.000000000000e+00  ,4.999736735102e+04  ,5.000027078265e+04  
  1.990129164649e+01  ,-4.768995428284e-07  ,0.000000000000e+00  ,4.999736737579e+04  ,5.000029834095e+04  
  1.990130884925e+01  ,-3.816436889570e-07  ,0.000000000000e+00  ,4.999736742534e+04  ,5.000035329849e+04  
  1.990134325476e+01  ,-4.768129578669e-07  ,0.000000000000e+00  ,4.999736752441e+04  ,5.000046321430e+04  
  1.990141206580e+01  ,-4.331936589441e-07  ,0.000000000000e+00  ,4.999736772251e+04  ,5.000056021675e+04  
  1.990154968787e+01  ,-4.784021379323e-07  ,0.000000000000e+00  ,4.999736811855e+04  ,5.000075422873e+04  
  1.990182493201e+01  ,-3.673980307761e-07  ,0.000000000000e+00  ,4.999736890998e+04  ,5.000176096639e+04  
  1.990237542029e+01  ,-4.780393916270e-07  ,0.000000000000e+00  ,4.999737049027e+04  ,5.000377419826e+04  
  1.990304192420e+01  ,-4.327777570201e-07  ,0.000000000000e+00  ,4.999737239898e+04  ,5.000467109751e+04  
  1.990437493201e+01  ,-4.775465926865e-07  ,0.000000000000e+00  ,4.999737620129e+04  ,5.000646490790e+04  
  1.990704094764e+01  ,-3.591416452842e-07  ,0.000000000000e+00  ,4.999738374570e+04  ,5.001632389621e+04  
  1.991175969764e+01  ,-4.750728602176e-07  ,0.000000000000e+00  ,4.999739690377e+04  ,5.003377394438e+04  
  1.991644407264e+01  ,-3.463376945789e-07  ,0.000000000000e+00  ,4.999740972158e+04  ,5.005107872232e+04  
  1.991659045935e+01  ,-4.732653926531e-07  ,0.000000000000e+00  ,4.999741011824e+04  ,5.005160513987e+04  
  1.991688323279e+01  ,-4.296151857597e-07  ,0.000000000000e+00  ,4.999741091085e+04  ,5.005157618370e+04  
  1.991689238196e+01  ,-4.329111006063e-07  ,0.000000000000e+00  ,4.999741093560e+04  ,5.005157619995e+04  
  1.991691068030e+01  ,-3.410936510462e-07  ,0.000000000000e+00  ,4.999741098511e+04  ,5.005164677939e+04  
  1.991691525489e+01  ,-4.696159967288e-07  ,0.000000000000e+00  ,4.999741099748e+04  ,5.005166278351e+04  
  1.991692440406e+01  ,-3.682561163232e-07  ,0.000000000000e+00  ,4.999741102223e+04  ,5.005168621580e+04  
  1.991694270240e+01  ,-4.695853505488e-07  ,0.000000000000e+00  ,4.999741107173e+04  ,5.005173284412e+04  
  1.991697929908e+01  ,-3.693999386101e-07  ,0.000000000000e+00  ,4.999741117072e+04  ,5.005182454697e+04  
  1.991705249244e+01  ,-4.694639010039e-07  ,0.000000000000e+00  ,4.999741136865e+04  ,5.005200826705e+04  
  1.991719887915e+01  ,-4.296605835563e-07  ,0.000000000000e+00  ,4.999741176433e+04  ,5.005195443791e+04  
  1.991749165259e+01  ,-4.707139006632e-07  ,0.000000000000e+00  ,4.999741255499e+04  ,5.005191357253e+04  
  1.991807719947e+01  ,-3.595662032563e-07  ,0.000000000000e+00  ,4.999741413350e+04  ,5.005368524041e+04  
  1.991924829322e+01  ,-4.700228728449e-07  ,0.000000000000e+00  ,4.999741727931e+04  ,5.005727707816e+04  
  1.992060962134e+01  ,-4.288787351647e-07  ,0.000000000000e+00  ,4.999742091737e+04  ,5.005714346969e+04  
  1.992333227759e+01  ,-4.686929479525e-07  ,0.000000000000e+00  ,4.999742813330e+04  ,5.005700415510e+04  
  1.992877759009e+01  ,-3.442312279112e-07  ,0.000000000000e+00  ,4.999744232650e+04  ,5.007408894853e+04  
  1.992879714576e+01  ,-4.651534031563e-07  ,0.000000000000e+00  ,4.999744237690e+04  ,5.007415093920e+04  
  1.992883625708e+01  ,-3.527646955936e-07  ,0.000000000000e+00  ,4.999744247769e+04  ,5.007426222473e+04  
  1.992891447974e+01  ,-4.645897335454e-07  ,0.000000000000e+00  ,4.999744267922e+04  ,5.007448467123e+04  
  1.992907092505e+01  ,-4.269279105795e-07  ,0.000000000000e+00  ,4.999744308208e+04  ,5.007447717616e+04  
