  Time                 , V(VN)                , V(VS)                , (V(MS:+)-V(MS:-)) / I(MS:+), (V(MH:+)-V(MH:-)) / I(MH:+)
  1.000000000000e-10  ,1.769192408938e-02  ,2.500000000000e+00  ,5.000000000030e+04  ,5.000000000000e+04  
  1.816653482616e-10  ,3.370910795275e-02  ,2.500000000000e+00  ,5.000000000054e+04  ,5.000000000000e+04  
  3.449960447848e-10  ,6.810973444226e-02  ,2.500000000000e+00  ,5.000000000103e+04  ,5.000000000000e+04  
  6.716574378312e-10  ,1.432726093917e-01  ,2.500000000000e+00  ,5.000000000202e+04  ,5.000000000000e+04  
  1.324980223924e-09  ,7.266627045738e-03  ,2.500000000000e+00  ,5.000000000383e+04  ,5.000000000000e+04  
  2.592696512491e-09  ,1.140991872603e-03  ,2.500000000000e+00  ,5.000000000676e+04  ,5.000000000000e+04  
  3.200000000000e-09  ,2.018621831667e-03  ,2.500000000000e+00  ,5.000000000804e+04  ,5.000000000000e+04  
  4.071252268553e-09  ,1.453873992546e-03  ,2.500000000000e+00  ,5.000000000979e+04  ,5.000000000000e+04  
  5.077080649137e-09  ,1.247415176408e-03  ,2.500000000000e+00  ,5.000000001174e+04  ,5.000000000000e+04  
  6.355227750540e-09  ,7.651438641574e-04  ,2.500000000000e+00  ,5.000000001416e+04  ,5.000000000000e+04  
  6.400000000000e-09  ,7.772535836352e-04  ,2.500000000000e+00  ,5.000000001424e+04  ,5.000000000000e+04  
  6.489546665549e-09  ,7.413942526000e-04  ,2.500000000000e+00  ,5.000000001441e+04  ,5.000000000000e+04  
  6.668639996648e-09  ,7.205258306726e-04  ,2.500000000000e+00  ,5.000000001475e+04  ,5.000000000000e+04  
  7.026826658845e-09  ,6.194438400939e-04  ,2.500000000000e+00  ,5.000000001542e+04  ,5.000000000000e+04  
  7.743199983239e-09  ,4.915304927806e-04  ,2.500000000000e+00  ,5.000000001675e+04  ,5.000000000000e+04  
  9.175946632028e-09  ,2.649640510981e-04  ,2.500000000000e+00  ,5.000000001943e+04  ,5.000000000000e+04  
  1.180000000000e-08  ,7.129261299355e-05  ,2.500000000000e+00  ,5.000000002438e+04  ,5.000000000000e+04  
  1.300000000000e-08  ,1.735920877621e-05  ,2.500000000000e+00  ,5.000000002667e+04  ,5.000000000000e+04  
  1.310000000000e-08  ,3.171800068635e-05  ,2.500000000000e+00  ,5.000000002686e+04  ,5.000000000000e+04  
  1.320000000000e-08  ,1.283859611512e-05  ,2.500000000000e+00  ,5.000000002705e+04  ,5.000000000000e+04  
  1.940000000000e-08  ,-3.275443291884e-05  ,2.500000000000e+00  ,5.000000003926e+04  ,5.000000000000e+04  
  2.011428571429e-08  ,-4.825358996996e-05  ,2.500000000000e+00  ,5.000000004071e+04  ,5.000000000000e+04  
  2.154293454375e-08  ,-2.989654917229e-05  ,2.500000000000e+00  ,5.000000004362e+04  ,5.000000000000e+04  
  2.440023220267e-08  ,-4.499668475688e-05  ,2.500000000000e+00  ,5.000000004954e+04  ,5.000000000000e+04  
  3.011482752051e-08  ,-2.687173200755e-05  ,2.500000000000e+00  ,5.000000006178e+04  ,5.000000000000e+04  
  4.154401815619e-08  ,-4.337109198715e-05  ,2.500000000000e+00  ,5.000000008777e+04  ,5.000000000000e+04  
  6.440239942755e-08  ,-2.325720390495e-05  ,2.500000000000e+00  ,5.000000014579e+04  ,5.000000000000e+04  
  1.101191619703e-07  ,-4.382093097277e-05  ,2.500000000000e+00  ,5.000000028523e+04  ,5.000000000000e+04  
  1.472000000000e-07  ,-7.941924141960e-03  ,2.500000000000e+00  ,5.000000042058e+04  ,5.000000000000e+04  
  1.473000000000e-07  ,-8.298212217596e-03  ,2.500000000000e+00  ,5.000000042097e+04  ,5.000000000000e+04  
  1.535000000000e-07  ,-7.058348810006e-03  ,2.500000000000e+00  ,5.000000044550e+04  ,5.000000000000e+04  
  1.542142857143e-07  ,-7.921013508167e-03  ,2.500000000000e+00  ,5.000000044836e+04  ,5.000000000000e+04  
  1.556429345437e-07  ,-8.826049618619e-03  ,2.500000000000e+00  ,5.000000045410e+04  ,5.000000000000e+04  
  1.585002322027e-07  ,-1.177089552039e-02  ,2.500000000000e+00  ,5.000000046567e+04  ,5.000000000000e+04  
  1.642148275205e-07  ,-1.578833902568e-02  ,2.500000000000e+00  ,5.000000048914e+04  ,5.000000000000e+04  
  1.746000000000e-07  ,-2.391589343097e-02  ,2.500000000000e+00  ,5.000000053294e+04  ,5.000000000000e+04  
  1.747000000000e-07  ,-2.353661391135e-02  ,2.500000000000e+00  ,5.000000053336e+04  ,5.000000000000e+04  
  1.994000000000e-07  ,-4.022899029951e-02  ,2.500000000000e+00  ,5.000000064335e+04  ,5.000000000000e+04  
  2.594695610046e-07  ,-6.979727507132e-02  ,2.500000000000e+00  ,5.000000094372e+04  ,5.000000000000e+04  
  3.759489578247e-07  ,-1.015321406012e-01  ,2.500000000000e+00  ,5.000000164975e+04  ,5.000000000000e+04  
  4.810000000000e-07  ,-1.101815682632e-01  ,2.500000000000e+00  ,5.000000241488e+04  ,4.999998550628e+04  
  4.811000000000e-07  ,-1.105868707164e-01  ,2.500000000000e+00  ,5.000000241567e+04  ,4.999998547867e+04  
  4.812000000000e-07  ,-1.102614862248e-01  ,2.500000000000e+00  ,5.000000241645e+04  ,4.999998545112e+04  
  4.835145228624e-07  ,-1.106091782640e-01  ,2.500000000000e+00  ,5.000000243460e+04  ,4.999998483227e+04  
  4.858402215958e-07  ,-1.103917092842e-01  ,2.500000000000e+00  ,5.000000245288e+04  ,4.999998424422e+04  
  4.904916190624e-07  ,-1.107791331888e-01  ,2.500000000000e+00  ,5.000000248961e+04  ,4.999998315515e+04  
  4.997944139957e-07  ,-1.106759884351e-01  ,2.500000000000e+00  ,5.000000256370e+04  ,4.999998125123e+04  
  5.184000038624e-07  ,-1.111969646226e-01  ,2.500000000000e+00  ,5.000000271434e+04  ,4.999997819257e+04  
  5.556111835957e-07  ,-1.106416933617e-01  ,2.500000000000e+00  ,5.000000302522e+04  ,4.999997375100e+04  
  6.128000000000e-07  ,-1.091703684287e-01  ,2.500000000000e+00  ,5.000000352695e+04  ,4.999996910998e+04  
  6.137000000000e-07  ,-1.088621091694e-01  ,2.500000000000e+00  ,5.000000353507e+04  ,4.999996905101e+04  
  6.138000000000e-07  ,-1.090978107677e-01  ,2.500000000000e+00  ,5.000000353597e+04  ,4.999996904448e+04  
  6.230178583145e-07  ,-1.084698687264e-01  ,2.500000000000e+00  ,5.000000361956e+04  ,4.999996845660e+04  
  6.316053975105e-07  ,-1.082747665423e-01  ,2.500000000000e+00  ,5.000000369807e+04  ,4.999996793346e+04  
  6.487804759026e-07  ,-1.071492108676e-01  ,2.500000000000e+00  ,5.000000385689e+04  ,4.999996694892e+04  
  6.831306326866e-07  ,-1.052981704270e-01  ,2.500000000000e+00  ,5.000000418160e+04  ,4.999996518177e+04  
  7.518309462547e-07  ,-1.000784287171e-01  ,2.500000000000e+00  ,5.000000485787e+04  ,4.999996222152e+04  
  8.892315733910e-07  ,-8.780939222925e-02  ,2.500000000000e+00  ,5.000000630777e+04  ,4.999995765869e+04  
  1.164032827663e-06  ,-5.693887583766e-02  ,2.500000000000e+00  ,5.000000952803e+04  ,4.999995112256e+04  
  1.713635336208e-06  ,1.503310186581e-02  ,2.500000000000e+00  ,5.000001684228e+04  ,4.999994204228e+04  
  2.812840353298e-06  ,1.752694651950e-01  ,2.500000000000e+00  ,5.000003309733e+04  ,4.999992895583e+04  
  5.011250387478e-06  ,4.831352334295e-01  ,2.500000000000e+00  ,5.000006647581e+04  ,4.999990836518e+04  
  9.408070455837e-06  ,9.444776554010e-01  ,2.500000000000e+00  ,5.000012808527e+04  ,4.999987360985e+04  
  1.820171059256e-05  ,1.426635735552e+00  ,2.500000000000e+00  ,5.000022961708e+04  ,4.999981363084e+04  
  3.578899086599e-05  ,1.696516084718e+00  ,2.500000000000e+00  ,5.000036921737e+04  ,4.999970599733e+04  
  7.096355141287e-05  ,1.709844028694e+00  ,2.500000000000e+00  ,5.000051023180e+04  ,4.999949869402e+04  
  7.975719154959e-05  ,1.708338745288e+00  ,2.500000000000e+00  ,5.000052835538e+04  ,4.999944695247e+04  
  9.734447182302e-05  ,1.706792192068e+00  ,2.500000000000e+00  ,5.000056058556e+04  ,4.999934341657e+04  
  1.325190323699e-04  ,1.707155653043e+00  ,2.500000000000e+00  ,5.000059098957e+04  ,4.999913632390e+04  
  2.028681534636e-04  ,1.706811333657e+00  ,2.500000000000e+00  ,5.000059098961e+04  ,4.999872213331e+04  
  3.435663956511e-04  ,1.707229039515e+00  ,2.500000000000e+00  ,5.000059098968e+04  ,4.999789377629e+04  
  6.249628800261e-04  ,1.706895882846e+00  ,2.500000000000e+00  ,5.000059098982e+04  ,4.999623710702e+04  
  1.187755848776e-03  ,1.707265611039e+00  ,2.500000000000e+00  ,5.000059099010e+04  ,4.999292393214e+04  
  2.313341786276e-03  ,1.706829213421e+00  ,2.500000000000e+00  ,5.000059099066e+04  ,4.998629808581e+04  
  4.564513661276e-03  ,1.707067652256e+00  ,2.500000000000e+00  ,5.000059099179e+04  ,4.997304833901e+04  
  9.066857411276e-03  ,1.706432355684e+00  ,2.500000000000e+00  ,5.000059099404e+04  ,4.994655658490e+04  
  1.807154491128e-02  ,1.706273576943e+00  ,2.500000000000e+00  ,5.000059099854e+04  ,4.989360406443e+04  
  3.608091991128e-02  ,1.704842390260e+00  ,2.500000000000e+00  ,5.000059100755e+04  ,4.978782276883e+04  
  7.209966991128e-02  ,1.703088845243e+00  ,2.500000000000e+00  ,5.000059102556e+04  ,4.957675435891e+04  
  1.441371699113e-01  ,1.698447101633e+00  ,2.500000000000e+00  ,5.000059106158e+04  ,4.915658542052e+04  
  2.882121699113e-01  ,1.690208147513e+00  ,2.500000000000e+00  ,5.000059113362e+04  ,4.832405818485e+04  
  5.763621699113e-01  ,1.672293682932e+00  ,2.500000000000e+00  ,5.000059127771e+04  ,4.668976213355e+04  
  1.152662169911e+00  ,1.636356303468e+00  ,2.500000000000e+00  ,5.000059156589e+04  ,4.354118295371e+04  
  1.952662169911e+00  ,1.582724664477e+00  ,2.500000000000e+00  ,5.000059196592e+04  ,3.943001725632e+04  
  2.752662169911e+00  ,1.526797978091e+00  ,2.500000000000e+00  ,5.000059236596e+04  ,3.562040463927e+04  
  3.552662169911e+00  ,1.467323453515e+00  ,2.500000000000e+00  ,5.000059276599e+04  ,3.212075460106e+04  
  4.352662169911e+00  ,1.406887090649e+00  ,2.500000000000e+00  ,5.000059316603e+04  ,2.894337842307e+04  
  5.000000000008e+00  ,1.356490494334e+00  ,2.500000000000e+00  ,5.000059348972e+04  ,2.661457068557e+04  
  5.001000000007e+00  ,1.215478759957e+00  ,2.249999998200e+00  ,5.000059349022e+04  ,2.661074669728e+04  
  5.001599089100e+00  ,1.130073526991e+00  ,2.100227725000e+00  ,5.000059349052e+04  ,2.660837033688e+04  
  5.001861604700e+00  ,1.092617444810e+00  ,2.034598825000e+00  ,5.000059349066e+04  ,2.660727335761e+04  
  5.001861604800e+00  ,1.092618017807e+00  ,2.034598800000e+00  ,5.000059349066e+04  ,2.660727335719e+04  
  5.001861631579e+00  ,1.092613265151e+00  ,2.034592105219e+00  ,5.000059349066e+04  ,2.660727324353e+04  
  5.001861685140e+00  ,1.092606633902e+00  ,2.034578715035e+00  ,5.000059349066e+04  ,2.660727301589e+04  
  5.001861768336e+00  ,1.092593836016e+00  ,2.034557915994e+00  ,5.000059349066e+04  ,2.660727266245e+04  
  5.001861934728e+00  ,1.092571193585e+00  ,2.034516317913e+00  ,5.000059349066e+04  ,2.660727195556e+04  
  5.001862267513e+00  ,1.092523128027e+00  ,2.034433121750e+00  ,5.000059349066e+04  ,2.660727054174e+04  
  5.001862933082e+00  ,1.092429336393e+00  ,2.034266729423e+00  ,5.000059349066e+04  ,2.660726771391e+04  
  5.001864264221e+00  ,1.092238533893e+00  ,2.033933944771e+00  ,5.000059349066e+04  ,2.660726205752e+04  
  5.001866926498e+00  ,1.091862795874e+00  ,2.033268375465e+00  ,5.000059349066e+04  ,2.660725074191e+04  
  5.001872251053e+00  ,1.091105266125e+00  ,2.031937236854e+00  ,5.000059349066e+04  ,2.660722809903e+04  
  5.001882900161e+00  ,1.089586913818e+00  ,2.029274959632e+00  ,5.000059349067e+04  ,2.660718276649e+04  
  5.001904198379e+00  ,1.086550012114e+00  ,2.023950405189e+00  ,5.000059349068e+04  ,2.660709191410e+04  
  5.001946794815e+00  ,1.080481714336e+00  ,2.013301296302e+00  ,5.000059349070e+04  ,2.660690945476e+04  
  5.002031987686e+00  ,1.068330648239e+00  ,1.992003078529e+00  ,5.000059349074e+04  ,2.660654147515e+04  
  5.002051195700e+00  ,1.065593143925e+00  ,1.987201075000e+00  ,5.000059349075e+04  ,2.660645794015e+04  
  5.002072706500e+00  ,1.062525358167e+00  ,1.981823375000e+00  ,5.000059349076e+04  ,2.660636413868e+04  
  5.002079074700e+00  ,1.061617838219e+00  ,1.980231325000e+00  ,5.000059349077e+04  ,2.660633631785e+04  
  5.002084439900e+00  ,1.060852018651e+00  ,1.978890025000e+00  ,5.000059349077e+04  ,2.660631286063e+04  
  5.002088119500e+00  ,1.060328180203e+00  ,1.977970125000e+00  ,5.000059349077e+04  ,2.660629676337e+04  
  5.002089773900e+00  ,1.060091316933e+00  ,1.977556525000e+00  ,5.000059349077e+04  ,2.660628952326e+04  
  5.002089832500e+00  ,1.060083932476e+00  ,1.977541875000e+00  ,5.000059349077e+04  ,2.660628926678e+04  
  5.002089832600e+00  ,1.060083064134e+00  ,1.977541850000e+00  ,5.000059349077e+04  ,2.660628926635e+04  
  5.002090192374e+00  ,1.060032495181e+00  ,1.977451906591e+00  ,5.000059349081e+04  ,2.660628769167e+04  
  5.002090532597e+00  ,1.059983183164e+00  ,1.977366850763e+00  ,5.000059349081e+04  ,2.660628620248e+04  
  5.002091213044e+00  ,1.059886887320e+00  ,1.977196739107e+00  ,5.000059349081e+04  ,2.660628322389e+04  
  5.002092573937e+00  ,1.059692003881e+00  ,1.976856515794e+00  ,5.000059349081e+04  ,2.660627726592e+04  
  5.002095295723e+00  ,1.059304592898e+00  ,1.976176069169e+00  ,5.000059349081e+04  ,2.660626534674e+04  
  5.002100739296e+00  ,1.058527517715e+00  ,1.974815175920e+00  ,5.000059349081e+04  ,2.660624149546e+04  
  5.002103454000e+00  ,1.058141077869e+00  ,1.974136500000e+00  ,5.000059349081e+04  ,2.660622959440e+04  
  5.002103551100e+00  ,1.058126399061e+00  ,1.974112225000e+00  ,5.000059349081e+04  ,2.660622916864e+04  
  5.002103551200e+00  ,1.058126929565e+00  ,1.974112200000e+00  ,5.000059349081e+04  ,2.660622916820e+04  
  5.002103551300e+00  ,1.058126515243e+00  ,1.974112175000e+00  ,5.000059349081e+04  ,2.660622916777e+04  
  5.002103558229e+00  ,1.058125917567e+00  ,1.974110442740e+00  ,5.000059349081e+04  ,2.660622913738e+04  
  5.002103564828e+00  ,1.058124544215e+00  ,1.974108792995e+00  ,5.000059349081e+04  ,2.660622910845e+04  
  5.002103578026e+00  ,1.058122959221e+00  ,1.974105493506e+00  ,5.000059349081e+04  ,2.660622905058e+04  
  5.002103604422e+00  ,1.058118600049e+00  ,1.974098894527e+00  ,5.000059349081e+04  ,2.660622893484e+04  
  5.002103657214e+00  ,1.058111058665e+00  ,1.974085696568e+00  ,5.000059349081e+04  ,2.660622870335e+04  
  5.002103762797e+00  ,1.058094707201e+00  ,1.974059300651e+00  ,5.000059349081e+04  ,2.660622824038e+04  
  5.002103973965e+00  ,1.058063167613e+00  ,1.974006508817e+00  ,5.000059349081e+04  ,2.660622731441e+04  
  5.002104396299e+00  ,1.057999741985e+00  ,1.973900925149e+00  ,5.000059349081e+04  ,2.660622546241e+04  
  5.002105240969e+00  ,1.057875392726e+00  ,1.973689757814e+00  ,5.000059349081e+04  ,2.660622175810e+04  
  5.002106930307e+00  ,1.057625884889e+00  ,1.973267423143e+00  ,5.000059349081e+04  ,2.660621434822e+04  
  5.002110308985e+00  ,1.057150993729e+00  ,1.972422753801e+00  ,5.000059349082e+04  ,2.660619952343e+04  
  5.002117066340e+00  ,1.056194234174e+00  ,1.970733415117e+00  ,5.000059349082e+04  ,2.660616985391e+04  
  5.002129097895e+00  ,1.054483724758e+00  ,1.967725526323e+00  ,5.000059349083e+04  ,2.660611696092e+04  
  5.002140866999e+00  ,1.052805918851e+00  ,1.964783250322e+00  ,5.000059349083e+04  ,2.660606513958e+04  
  5.002164405207e+00  ,1.049450181657e+00  ,1.958898698320e+00  ,5.000059349084e+04  ,2.660596125197e+04  
  5.002211481623e+00  ,1.042736935895e+00  ,1.947129594316e+00  ,5.000059349087e+04  ,2.660575248911e+04  
  5.002305634455e+00  ,1.029311925813e+00  ,1.923591386308e+00  ,5.000059349091e+04  ,2.660533094935e+04  
  5.002493940119e+00  ,1.002460821124e+00  ,1.876514970292e+00  ,5.000059349101e+04  ,2.660447128499e+04  
  5.002870551447e+00  ,9.487609773641e-01  ,1.782362138261e+00  ,5.000059349120e+04  ,2.660268101424e+04  
  5.003623774103e+00  ,8.413646482513e-01  ,1.594056474199e+00  ,5.000059349157e+04  ,2.659877263497e+04  
  5.005130219416e+00  ,6.266017033486e-01  ,1.217445146074e+00  ,5.000059349233e+04  ,2.658910696158e+04  
  5.008143110041e+00  ,-1.933709467557e-01  ,4.642224898235e-01  ,5.000059349383e+04  ,2.660727338720e+04  
  5.008375221287e+00  ,-1.938116339443e-01  ,4.061946783456e-01  ,5.000059349395e+04  ,2.661177729768e+04  
  5.008537699158e+00  ,-1.935993520892e-01  ,3.655752105110e-01  ,5.000059349403e+04  ,2.661492828731e+04  
  5.008862650330e+00  ,-1.935999462730e-01  ,2.843374175423e-01  ,5.000059349419e+04  ,2.662122943091e+04  
  5.009512552674e+00  ,-1.931367040816e-01  ,1.218618316048e-01  ,5.000059349452e+04  ,2.663382628771e+04  
  5.009573483590e+00  ,-1.931340654119e-01  ,1.066291024041e-01  ,5.000059349455e+04  ,2.663500689655e+04  
  5.009616135231e+00  ,-1.931600720563e-01  ,9.596619216379e-02  ,5.000059349457e+04  ,2.663583328561e+04  
  5.009701437966e+00  ,-1.308342928824e-01  ,7.464050857009e-02  ,5.000059349461e+04  ,2.663746877664e+04  
  5.009872043434e+00  ,-6.024786060152e-02  ,3.198914138269e-02  ,5.000059349470e+04  ,2.664066613846e+04  
  5.010000000008e+00  ,-9.934321862914e-07  ,0.000000000000e+00  ,5.000059349476e+04  ,2.664300977097e+04  
  5.010033740242e+00  ,-7.911918654124e-07  ,0.000000000000e+00  ,5.000059349478e+04  ,2.664362113298e+04  
  5.010101220711e+00  ,-6.051763218884e-07  ,0.000000000000e+00  ,5.000059349481e+04  ,2.664484382872e+04  
  5.010191284188e+00  ,-5.052174208986e-07  ,0.000000000000e+00  ,5.000059349486e+04  ,2.664647562441e+04  
