  Time                 , V(VN)                , (V(MS:+)-V(MS:-)) / I(MS:+), V(VS)                , (V(MH:+)-V(MH:-)) / I(MH:+)
  1.000000000000e-10  ,2.122561702345e-02  ,5.000000000030e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.816769897938e-10  ,4.044423595042e-02  ,5.000000000054e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  3.450309693813e-10  ,8.172585238935e-02  ,5.000000000103e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.717389285564e-10  ,1.718931936193e-01  ,5.000000000204e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.325154846907e-09  ,6.946973355753e-03  ,5.000000000388e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  2.596223896742e-09  ,1.852200380313e-03  ,5.000000000683e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  3.295740282536e-09  ,2.618825680429e-03  ,5.000000000831e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  4.056537693739e-09  ,1.768357342598e-03  ,5.000000000985e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.061248487234e-09  ,1.329283304472e-03  ,5.000000001181e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.312759763002e-09  ,7.422856022572e-04  ,5.000000001421e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.400000000000e-09  ,7.461310339067e-04  ,5.000000001437e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.574483284354e-09  ,6.866136272379e-04  ,5.000000001470e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.923449853063e-09  ,6.199779392091e-04  ,5.000000001537e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  7.621382990479e-09  ,4.537292325892e-04  ,5.000000001669e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  9.017249265313e-09  ,2.694188075907e-04  ,5.000000001934e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.180898181498e-08  ,3.578464594867e-05  ,5.000000002470e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.678969494402e-08  ,-3.340244159844e-05  ,5.000000003461e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  2.200584641993e-08  ,-5.343327052643e-05  ,5.000000004549e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  3.209095231593e-08  ,-3.444277038156e-05  ,5.000000006801e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  4.976968995631e-08  ,-5.091628444376e-05  ,5.000000011214e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.240000000000e-08  ,-3.169357515631e-05  ,5.000000011921e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.260000000000e-08  ,-5.066185925529e-05  ,5.000000011975e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.270000000000e-08  ,-3.191918007239e-05  ,5.000000012002e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.280000000000e-08  ,-5.035004867437e-05  ,5.000000012029e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.716529517174e-08  ,-4.763283799747e-05  ,5.000000013234e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.900000000000e-08  ,-3.353393552530e-05  ,5.000000013751e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  5.971428571429e-08  ,-4.730826208288e-05  ,5.000000013954e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.114293454375e-08  ,-3.332481014695e-05  ,5.000000014363e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.400023220267e-08  ,-4.695915439257e-05  ,5.000000015192e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  6.971482752051e-08  ,-3.219379096819e-05  ,5.000000016895e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  8.114401815619e-08  ,-4.584452165801e-05  ,5.000000020481e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.040023994276e-07  ,-2.792884263947e-05  ,5.000000028360e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.279000000000e-07  ,-4.204847294531e-05  ,5.000000037588e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.739000000000e-07  ,-3.656292435750e-05  ,5.000000058101e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.740000000000e-07  ,-7.493438778283e-05  ,5.000000058150e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.741000000000e-07  ,-5.524597780138e-05  ,5.000000058198e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.769762966394e-07  ,-6.658652676350e-05  ,5.000000059601e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.796007636547e-07  ,4.662044067771e-05  ,5.000000060892e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.848496976852e-07  ,-8.015383142634e-05  ,5.000000063509e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  1.953475657463e-07  ,3.791181472579e-05  ,5.000000068877e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  2.068000000000e-07  ,-3.520379200666e-04  ,5.000000074935e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  2.087000000000e-07  ,5.608156504522e-05  ,5.000000075961e+04  ,3.000000000000e+00  ,5.000000000000e+04  
  2.088000000000e-07  ,-2.122708890937e-04  ,5.000000076015e+04  ,3.000000000000e+00  ,5.000000000000e+04  
