  Time                 , V(VS)                , (V(MH:+)-V(MH:-))  / I(MH:+)
  0.000000000000e+00  ,8.042298654134e-01  ,4.995905958012e+04  
  1.000000000000e-04  ,1.388232062746e+00  ,4.995793126943e+04  
  2.000000000000e-04  ,1.171819208350e+00  ,4.995660967786e+04  
  4.000000000000e-04  ,7.462935270241e-01  ,4.995309744623e+04  
  7.857421875000e-04  ,6.285653248695e-01  ,4.994346909983e+04  
  1.557226562500e-03  ,7.939268166143e-01  ,4.992472371969e+04  
  2.651562500000e-03  ,7.733451338237e-01  ,4.990014212092e+04  
  4.840234375000e-03  ,8.722739341411e-01  ,4.985635798023e+04  
  9.217578125000e-03  ,1.272994170965e+00  ,4.978909203703e+04  
  1.797226562500e-02  ,7.513229773858e-01  ,4.963948158750e+04  
  1.922226562500e-02  ,1.181096835231e+00  ,4.961745531152e+04  
  2.172226562500e-02  ,1.316843165380e+00  ,4.958239150032e+04  
  2.672226562500e-02  ,8.917569505905e-01  ,4.950828143903e+04  
  2.797226562500e-02  ,1.276778466140e+00  ,4.948948423849e+04  
  3.047226562500e-02  ,6.779808954131e-01  ,4.943731296916e+04  
  3.547226562500e-02  ,8.714194158757e-01  ,4.932907300693e+04  
  4.513632812500e-02  ,1.218329416791e+00  ,4.917256522498e+04  
  5.513632812500e-02  ,6.410657063509e-01  ,4.897751057036e+04  
  6.513632812500e-02  ,1.247651600696e+00  ,4.878457350652e+04  
  7.513632812500e-02  ,8.077944273202e-01  ,4.862394867330e+04  
  7.638632812500e-02  ,9.697622608112e-01  ,4.860133959002e+04  
  7.888632812500e-02  ,1.180950346385e+00  ,4.856497878004e+04  
  8.388632812500e-02  ,9.075533310953e-01  ,4.848921154194e+04  
  9.388632812500e-02  ,1.203045747246e+00  ,4.833914865223e+04  
  9.513632812500e-02  ,8.457594531083e-01  ,4.831955126869e+04  
  9.763632812500e-02  ,1.320798364208e+00  ,4.828678228970e+04  
  9.826132812500e-02  ,7.157750175481e-01  ,4.827621103716e+04  
  9.841757812500e-02  ,1.147111423078e+00  ,4.827338455858e+04  
  9.873007812500e-02  ,1.338572344127e+00  ,4.826902484467e+04  
  9.935507812500e-02  ,1.169743949705e+00  ,4.826147306137e+04  
  1.006050781250e-01  ,9.997924741356e-01  ,4.824367247040e+04  
  1.031050781250e-01  ,7.180944242683e-01  ,4.819591241066e+04  
  1.037300781250e-01  ,6.576189458907e-01  ,4.818090368804e+04  
  1.038863281250e-01  ,1.281417279580e+00  ,4.817797955984e+04  
  1.041988281250e-01  ,1.341477706229e+00  ,4.817438701838e+04  
  1.048238281250e-01  ,1.159172338023e+00  ,4.816678403194e+04  
  1.057229492187e-01  ,1.390209662160e+00  ,4.815664253178e+04  
  1.075211914062e-01  ,6.114261299478e-01  ,4.812250613973e+04  
  1.111176757812e-01  ,1.104361095004e+00  ,4.804850657572e+04  
  1.183106445312e-01  ,6.569597460860e-01  ,4.790926431616e+04  
  1.283106445312e-01  ,8.014465773492e-01  ,4.771266226520e+04  
  1.383106445312e-01  ,1.071449934385e+00  ,4.754260534871e+04  
  1.483106445313e-01  ,8.194402905362e-01  ,4.737569824884e+04  
  1.583106445313e-01  ,1.096499526963e+00  ,4.721091176074e+04  
  1.683106445313e-01  ,9.174901577807e-01  ,4.704422398206e+04  
  1.783106445313e-01  ,6.524430066836e-01  ,4.683552377317e+04  
  1.795606445313e-01  ,7.348673970763e-01  ,4.680633151682e+04  
  1.820606445313e-01  ,1.059364604633e+00  ,4.676172044959e+04  
  1.870606445313e-01  ,1.113467818232e+00  ,4.669277981074e+04  
  1.970606445313e-01  ,9.744499038667e-01  ,4.654818079800e+04  
  2.070606445313e-01  ,1.204046754357e+00  ,4.640933785171e+04  
  2.170606445313e-01  ,1.030286568804e+00  ,4.627564743248e+04  
  2.270606445313e-01  ,1.348387096774e+00  ,4.615941682992e+04  
  2.370606445313e-01  ,1.378197576830e+00  ,4.605329887696e+04  
  2.470606445313e-01  ,8.125797296060e-01  ,4.590628215016e+04  
  2.483106445313e-01  ,1.304538102359e+00  ,4.588748913959e+04  
  2.508106445313e-01  ,1.205780205695e+00  ,4.585851383913e+04  
  2.558106445313e-01  ,1.212054811243e+00  ,4.579824248624e+04  
  2.658106445313e-01  ,7.534714804529e-01  ,4.562651328026e+04  
  2.758106445313e-01  ,1.377636036256e+00  ,4.547163791453e+04  
  2.858106445313e-01  ,1.172038941618e+00  ,4.535785257493e+04  
  2.958106445313e-01  ,1.352024903104e+00  ,4.524317039136e+04  
  3.058106445313e-01  ,8.314035462508e-01  ,4.509960001115e+04  
  3.070606445313e-01  ,1.013171788690e+00  ,4.507915461705e+04  
  3.095606445313e-01  ,1.049305703909e+00  ,4.504190916558e+04  
  3.145606445313e-01  ,1.016394543291e+00  ,4.497101000895e+04  
  3.245606445313e-01  ,6.053712576678e-01  ,4.476696494769e+04  
  3.258106445313e-01  ,8.964201788385e-01  ,4.474006752630e+04  
  3.283106445313e-01  ,7.611865596484e-01  ,4.469436374745e+04  
  3.289356445313e-01  ,8.000549333171e-01  ,4.468220170055e+04  
  3.301856445313e-01  ,8.337473677786e-01  ,4.465897212023e+04  
  3.326856445313e-01  ,6.808374279000e-01  ,4.460796481488e+04  
  3.333106445313e-01  ,9.514267403180e-01  ,4.459598170166e+04  
  3.345606445313e-01  ,9.110934781945e-01  ,4.457619201254e+04  
  3.370606445313e-01  ,7.686086611530e-01  ,4.453118700696e+04  
  3.376856445313e-01  ,7.765678884243e-01  ,4.451915019983e+04  
  3.389356445313e-01  ,9.630970183416e-01  ,4.449743541573e+04  
  3.414356445313e-01  ,1.069301431318e+00  ,4.446151980858e+04  
  3.464356445313e-01  ,8.452711569567e-01  ,4.438367575834e+04  
  3.476856445313e-01  ,1.123844111454e+00  ,4.436466178896e+04  
  3.501856445313e-01  ,6.357432782983e-01  ,4.431804739743e+04  
  3.508106445313e-01  ,1.162736899930e+00  ,4.430651025154e+04  
  3.520606445313e-01  ,7.054475539415e-01  ,4.428548204744e+04  
  3.523731445313e-01  ,8.625568407239e-01  ,4.427941245668e+04  
  3.529981445313e-01  ,6.194097720267e-01  ,4.426508159086e+04  
  3.542481445312e-01  ,1.365770439772e+00  ,4.424587687891e+04  
  3.560692382812e-01  ,7.350627155370e-01  ,4.421196360112e+04  
  3.592825195312e-01  ,1.225189977721e+00  ,4.416594669203e+04  
  3.657090820312e-01  ,1.291476180303e+00  ,4.409378971925e+04  
  3.757090820312e-01  ,8.899990844447e-01  ,4.395684576153e+04  
  3.769590820312e-01  ,8.199285866878e-01  ,4.393514541556e+04  
  3.794590820312e-01  ,1.269966734825e+00  ,4.389869355608e+04  
  3.844590820312e-01  ,1.111758781701e+00  ,4.383908663994e+04  
  3.944590820312e-01  ,1.007361064486e+00  ,4.370372594228e+04  
  4.044590820312e-01  ,8.680013428144e-01  ,4.354625018854e+04  
  4.144590820312e-01  ,8.119205298013e-01  ,4.337125290371e+04  
  4.244590820312e-01  ,1.097598193304e+00  ,4.321626211891e+04  
  4.344590820312e-01  ,1.003552354503e+00  ,4.308119267825e+04  
  4.444590820313e-01  ,8.511062959685e-01  ,4.292251601572e+04  
  4.544590820313e-01  ,6.492202520829e-01  ,4.272042955896e+04  
  4.557090820313e-01  ,1.240156254769e+00  ,4.269884423978e+04  
  4.582090820313e-01  ,1.276778466140e+00  ,4.267148078043e+04  
  4.632090820313e-01  ,1.392455824458e+00  ,4.262012254580e+04  
  4.732090820313e-01  ,9.513046662801e-01  ,4.248970515015e+04  
  4.832090820313e-01  ,1.209906308176e+00  ,4.235842796598e+04  
  4.932090820313e-01  ,8.702963347270e-01  ,4.221966138530e+04  
  5.032090820313e-01  ,1.255146946623e+00  ,4.208337519616e+04  
  5.132090820313e-01  ,1.178630939665e+00  ,4.197104835151e+04  
  5.232090820313e-01  ,1.045570238350e+00  ,4.184678435688e+04  
  5.332090820313e-01  ,7.181188390759e-01  ,4.167915481294e+04  
  5.344590820313e-01  ,7.071565904721e-01  ,4.165352341778e+04  
  5.369590820312e-01  ,7.465865047151e-01  ,4.160341964319e+04  
  5.419590820312e-01  ,1.087954344310e+00  ,4.152352237007e+04  
  5.519590820312e-01  ,7.969786675619e-01  ,4.137142799211e+04  
  5.619590820313e-01  ,7.342081972716e-01  ,4.118374190222e+04  
  5.719590820313e-01  ,1.138590655232e+00  ,4.102614030592e+04  
