  Time                 , V(VN)                , V(VS)                
  1.000000000000e-10  ,1.064229047824e-02  ,1.500000000000e+00  
  1.816187821329e-10  ,2.027524504592e-02  ,1.500000000000e+00  
  3.448563463986e-10  ,4.095902274275e-02  ,1.500000000000e+00  
  6.713314749300e-10  ,8.620217742282e-02  ,1.500000000000e+00  
  1.324281731993e-09  ,1.700500520528e-01  ,1.500000000000e+00  
  2.630182246119e-09  ,6.616776932333e-03  ,1.500000000000e+00  
  5.072110036761e-09  ,-1.080793566643e-03  ,1.500000000000e+00  
  6.400000000000e-09  ,9.427181811930e-04  ,1.500000000000e+00  
  7.114285714286e-09  ,-9.631811411737e-05  ,1.500000000000e+00  
  8.542934543746e-09  ,3.307713301410e-04  ,1.500000000000e+00  
  9.864481277125e-09  ,-7.303898819644e-07  ,1.500000000000e+00  
  1.237085658993e-08  ,1.595815544704e-04  ,1.500000000000e+00  
  1.577167410340e-08  ,-4.446513134937e-05  ,1.500000000000e+00  
  1.955209869828e-08  ,9.621952354166e-05  ,1.500000000000e+00  
  2.425043482270e-08  ,-4.438877029145e-05  ,1.500000000000e+00  
  3.364710707154e-08  ,7.497349295704e-05  ,1.500000000000e+00  
  5.244045156922e-08  ,-7.510451017367e-05  ,1.500000000000e+00  
  7.350000000000e-08  ,2.570972745843e-04  ,1.500000000000e+00  
  7.360000000000e-08  ,4.245949263293e-05  ,1.500000000000e+00  
  7.370000000000e-08  ,6.659144584376e-05  ,1.500000000000e+00  
  7.447681615949e-08  ,-3.223037415125e-04  ,1.500000000000e+00  
  7.533661316037e-08  ,-3.066588925549e-04  ,1.500000000000e+00  
  7.705620716214e-08  ,-1.881147219365e-03  ,1.500000000000e+00  
  7.990000000000e-08  ,-4.141912803789e-03  ,1.500000000000e+00  
  8.061428571429e-08  ,-4.957971737895e-03  ,1.500000000000e+00  
  8.204293454375e-08  ,-5.926312861902e-03  ,1.500000000000e+00  
  8.490023220267e-08  ,-8.501185969180e-03  ,1.500000000000e+00  
  9.061482752051e-08  ,-1.290203821463e-02  ,1.500000000000e+00  
  1.020440181562e-07  ,-2.190116041129e-02  ,1.500000000000e+00  
  1.249023994276e-07  ,-3.749745016466e-02  ,1.500000000000e+00  
  1.706191619703e-07  ,-6.328841496725e-02  ,1.500000000000e+00  
  2.620526870557e-07  ,-9.629790385225e-02  ,1.500000000000e+00  
  4.449197372266e-07  ,-1.222440672500e-01  ,1.500000000000e+00  
  8.106538375684e-07  ,-1.147620766933e-01  ,1.500000000000e+00  
  1.173050077803e-06  ,-8.729309662158e-02  ,1.500000000000e+00  
  1.692135008223e-06  ,-4.314587702538e-02  ,1.500000000000e+00  
  2.730304869063e-06  ,5.118241211676e-02  ,1.500000000000e+00  
  4.806644590742e-06  ,2.319547155785e-01  ,1.500000000000e+00  
  8.959324034102e-06  ,5.061199908669e-01  ,1.500000000000e+00  
  1.726468292082e-05  ,8.029223327176e-01  ,1.500000000000e+00  
  3.387540069426e-05  ,9.810608683620e-01  ,1.500000000000e+00  
  6.709683624113e-05  ,9.973296790849e-01  ,1.500000000000e+00  
  1.335397073349e-04  ,9.918885329389e-01  ,1.500000000000e+00  
  2.424264260849e-04  ,9.952618850511e-01  ,1.500000000000e+00  
  4.601998635849e-04  ,9.927209605812e-01  ,1.500000000000e+00  
  8.957467385849e-04  ,9.949742124300e-01  ,1.500000000000e+00  
  1.766840488585e-03  ,9.928128832835e-01  ,1.500000000000e+00  
  3.509027988585e-03  ,9.947559763095e-01  ,1.500000000000e+00  
  6.993402988585e-03  ,9.925308350357e-01  ,1.500000000000e+00  
  1.396215298858e-02  ,9.941125054611e-01  ,1.500000000000e+00  
  2.789965298858e-02  ,9.912829939276e-01  ,1.500000000000e+00  
  5.577465298858e-02  ,9.915877202293e-01  ,1.500000000000e+00  
  1.115246529886e-01  ,9.862262523966e-01  ,1.500000000000e+00  
  2.230246529886e-01  ,9.813565280638e-01  ,1.500000000000e+00  
  4.460246529886e-01  ,9.653986910707e-01  ,1.500000000000e+00  
  8.920246529886e-01  ,9.380133068189e-01  ,1.500000000000e+00  
  1.784024652989e+00  ,8.725505096372e-01  ,1.500000000000e+00  
  2.784024652989e+00  ,7.973647619365e-01  ,1.500000000000e+00  
  3.784024652989e+00  ,7.185807011556e-01  ,1.500000000000e+00  
  4.784024652989e+00  ,6.498279965599e-01  ,1.500000000000e+00  
  5.000000000012e+00  ,6.347465698491e-01  ,1.500000000000e+00  
  5.001000000011e+00  ,5.661536031403e-01  ,1.349999998380e+00  
  5.003000000011e+00  ,4.264184243220e-01  ,1.049999998380e+00  
  5.003500000011e+00  ,3.915197242459e-01  ,9.749999983801e-01  
  5.004500000011e+00  ,3.219844614796e-01  ,8.249999983801e-01  
  5.006500000011e+00  ,1.856484445016e-01  ,5.249999983801e-01  
  5.006554687511e+00  ,1.820453341788e-01  ,5.167968733772e-01  
  5.006620312511e+00  ,1.777279880771e-01  ,5.069531233772e-01  
  5.006751562511e+00  ,5.843730038760e-02  ,4.872656233772e-01  
  5.007014062511e+00  ,-1.906686724251e-01  ,4.478906233772e-01  
  5.007539062511e+00  ,-1.908990192314e-01  ,3.691406233772e-01  
  5.008333886730e+00  ,-1.907226153562e-01  ,2.499169905647e-01  
  5.009338378917e+00  ,-1.905372138426e-01  ,9.924316243977e-02  
  5.009421081554e+00  ,-1.095114561467e-01  ,8.683776690974e-02  
  5.009478973399e+00  ,-9.171537298971e-02  ,7.815399021882e-02  
  5.009594757090e+00  ,-1.808344908816e-06  ,6.078643650791e-02  
  5.009623703013e+00  ,-1.139113539272e-06  ,5.644454808018e-02  
  5.009681594859e+00  ,-7.335191509750e-07  ,4.776077122473e-02  
  5.009797378550e+00  ,-4.922178730160e-07  ,3.039321751381e-02  
  5.010000000012e+00  ,-4.095517227576e-07  ,0.000000000000e+00  
  5.010023156750e+00  ,-4.023061409286e-07  ,0.000000000000e+00  
  5.010069470227e+00  ,-3.965501044201e-07  ,0.000000000000e+00  
  5.010162097180e+00  ,-3.889840470561e-07  ,0.000000000000e+00  
  5.010347351086e+00  ,-3.823012746651e-07  ,0.000000000000e+00  
  5.010717858899e+00  ,-3.793824666642e-07  ,0.000000000000e+00  
  5.011458874524e+00  ,-3.796113323407e-07  ,0.000000000000e+00  
  5.012940905774e+00  ,-3.798334091976e-07  ,0.000000000000e+00  
  5.015904968274e+00  ,-3.803968277039e-07  ,0.000000000000e+00  
  5.021833093274e+00  ,-3.814171804783e-07  ,0.000000000000e+00  
  5.033689343274e+00  ,-3.834757535404e-07  ,0.000000000000e+00  
  5.057401843274e+00  ,-3.872739638422e-07  ,0.000000000000e+00  
